RIC,date,return
CTRA.N,2000-01-31,-0.0817120622570172
CTRA.N,2000-02-29,0.0748573329981963
CTRA.N,2000-03-31,0.142292490146434
CTRA.N,2000-04-28,0.0276816608781016
CTRA.N,2000-05-31,0.345876926225746
CTRA.N,2000-06-30,-0.150375939852505
CTRA.N,2000-07-31,-0.1268436578214939
CTRA.N,2000-08-31,0.0835520981234936
CTRA.N,2000-09-29,0.0187499999820211
CTRA.N,2000-10-31,-0.0368098159351015
CTRA.N,2000-11-30,0.0148030133718837
CTRA.N,2000-12-29,0.56918238989614
CTRA.N,2001-01-31,-0.101563126266733
CTRA.N,2001-02-28,-0.0315065459711797
CTRA.N,2001-03-30,-0.0036900368835685
CTRA.N,2001-04-30,0.0711111111139007
CTRA.N,2001-05-31,0.0663528821006298
CTRA.N,2001-06-29,-0.207792207793917
CTRA.N,2001-07-31,0.0286885246178703
CTRA.N,2001-08-31,-0.107627437146482
CTRA.N,2001-09-28,-0.107781753123357
CTRA.N,2001-10-31,0.208020050176281
CTRA.N,2001-11-30,-0.0818187521157256
CTRA.N,2001-12-31,0.0887279311873672
CTRA.N,2002-01-31,-0.1663201663273169
CTRA.N,2002-02-28,0.0045427864173697
CTRA.N,2002-03-28,0.2318407960108439
CTRA.N,2002-04-30,0.0149434571773921
CTRA.N,2002-05-31,-0.0852331518336228
CTRA.N,2002-06-28,-0.0043572984663824
CTRA.N,2002-07-31,-0.0853391684945344
CTRA.N,2002-08-30,0.0665647502434128
CTRA.N,2002-09-30,-0.0337078651904409
CTRA.N,2002-10-31,0.0167441860455952
CTRA.N,2002-11-29,0.0586107579246371
CTRA.N,2002-12-31,0.0727272727170802
CTRA.N,2003-01-31,-0.0512510088791003
CTRA.N,2003-02-28,0.0255512522442478
CTRA.N,2003-03-31,-0.0029081844842733
CTRA.N,2003-04-30,0.0208333333311697
CTRA.N,2003-05-30,0.107486955744746
CTRA.N,2003-06-30,0.0191952750376808
CTRA.N,2003-07-31,-0.0927200289897089
CTRA.N,2003-08-29,0.0775689547199499
CTRA.N,2003-09-30,-0.0352504638169103
CTRA.N,2003-10-31,-0.0173076923010629
CTRA.N,2003-11-28,0.0411204200797715
CTRA.N,2003-12-31,0.105045180730346
CTRA.N,2004-01-30,0.0391822828001245
CTRA.N,2004-02-27,-0.0029279869169885
CTRA.N,2004-03-31,0.0062561738377933
CTRA.N,2004-04-30,0.168193717270345
CTRA.N,2004-05-28,0.0319516471038286
CTRA.N,2004-06-30,0.149456521744073
CTRA.N,2004-07-30,0.0394799054219206
CTRA.N,2004-08-31,-0.0800858936160949
CTRA.N,2004-09-30,0.111111111104105
CTRA.N,2004-10-29,-0.0576837416578201
CTRA.N,2004-11-30,0.144534799569355
CTRA.N,2004-12-31,-0.0853658536569961
CTRA.N,2005-01-31,0.0639548022674226
CTRA.N,2005-02-28,0.190210628231186
CTRA.N,2005-03-31,-0.0150026790292784
CTRA.N,2005-04-29,-0.199274745374109
CTRA.N,2005-05-31,0.0662881658849312
CTRA.N,2005-06-30,0.106858054226652
CTRA.N,2005-07-29,0.167723342925852
CTRA.N,2005-08-31,0.0669107128961697
CTRA.N,2005-09-30,0.169483676763045
CTRA.N,2005-10-31,-0.0934468421974536
CTRA.N,2005-11-30,-0.0773254964279364
CTRA.N,2005-12-30,0.0684671878566828
CTRA.N,2006-01-31,0.143458980053715
CTRA.N,2006-02-28,-0.1216100682674379
CTRA.N,2006-03-31,0.0589924878193444
CTRA.N,2006-04-28,0.0277488003344444
